id,n_tokens_title,n_tokens_content,n_unique_tokens,n_non_stop_words,n_non_stop_unique_tokens,num_hrefs,num_self_hrefs,num_imgs,num_videos,average_token_length,num_keywords,kw_min_min,kw_max_min,kw_avg_min,kw_min_max,kw_max_max,kw_avg_max,kw_min_avg,kw_max_avg,kw_avg_avg,self_reference_min_shares,self_reference_max_shares,self_reference_avg_sharess,LDA_00,LDA_01,LDA_02,LDA_03,LDA_04,global_subjectivity,global_sentiment_polarity,global_rate_positive_words,global_rate_negative_words,rate_positive_words,rate_negative_words,avg_positive_polarity,min_positive_polarity,max_positive_polarity,avg_negative_polarity,min_negative_polarity,max_negative_polarity,title_subjectivity,title_sentiment_polarity,abs_title_subjectivity,abs_title_sentiment_polarity,data_channel,weekday,shares,y
17335,9.0,409.0,0.501326258617,0.999999996283,0.587360592612,23.0,2.0,11.0,0.0,4.59657701711,10.0,217.0,3400.0,712.7,,617900.0,90770.0,1226.66666667,3979.6254417,3056.00773865,2900.0,2900.0,2900.0,0.139798306033,0.020023085522,0.0200079047856,0.0200916010544,,0.521153846154,0.365865384615,0.0537897310513,0.00733496332518,0.88,0.12,0.495454545455,0.1,1.0,-0.129166666667,-0.1875,-0.1,0.5,0.5,0.0,0.5,Lifestyle,,801,0
21242,10.0,317.0,0.725085908161,0.999999995146,0.830097083349,6.0,3.0,,21.0,4.62460567823,7.0,217.0,831.0,431.142857143,720.0,69100.0,36531.4285714,720.0,2903.5,2292.29917393,1800.0,22800.0,12300.0,0.0286270701449,0.0286708070412,0.320833490645,0.593291435874,0.0285771962942,0.50531986532,0.0600273569024,0.0378548895899,0.0473186119874,0.444444444444,0.555555555556,0.5425,0.1,1.0,-0.303814814815,-0.6,,0.0,0.0,0.5,0.0,Lifestyle,Tuesday,426,0
9448,11.0,447.0,0.584090907763,0.99999999654,0.730103803702,,1.0,1.0,1.0,4.96196868009,,-1.0,1300.0,482.333333333,0.0,843300.0,,0.0,4360.0,2113.99441431,2400.0,2400.0,2400.0,0.0285731067112,0.0285732771793,0.885708489632,0.028572571983,0.0285725544947,0.484134469697,0.151471590909,0.0402684563758,0.0246085011186,0.620689655172,0.379310344828,0.431742424242,0.1,1.0,-0.202651515152,-0.5,-0.1,0.75,0.125,0.25,0.125,World,Friday,2400,1
36797,13.0,143.0,0.638297867813,,0.787499990156,3.0,2.0,,0.0,4.52447552448,8.0,-1.0,,287.875,6500.0,843300.0,173687.5,1922.72,,3801.21162895,,1900.0,1900.0,0.0258061451394,0.0250037965197,0.187663447924,0.436806719296,0.324719891121,0.66746031746,0.417857142857,0.041958041958,0.0,1.0,0.0,0.417857142857,,0.6,0.0,0.0,0.0,1.0,,0.5,0.5,Social Media,,1100,0
29504,17.0,576.0,0.524412295616,0.999999997024,0.71428571216,8.0,3.0,,0.0,5.02083333333,8.0,-1.0,719.0,,0.0,843300.0,146562.5,0.0,3861.9,,1800.0,3700.0,2750.0,0.524842936453,0.0257334737654,0.149360560351,0.0252197350095,0.274843294421,0.379840548341,0.0948077200577,0.0329861111111,0.0190972222222,,0.366666666667,0.341233766234,0.05,0.75,-0.339141414141,-1.0,-0.1,0.0,0.0,0.5,0.0,World,Wednesday,1500,1
19717,,833.0,,0.999999998155,0.577490773842,17.0,3.0,17.0,1.0,4.50420168067,6.0,-1.0,705.0,256.2,0.0,843300.0,,0.0,4745.14492754,2706.40671376,1200.0,34100.0,,0.0333389707534,0.726159814928,,0.0335633344547,0.173601275908,0.483118393235,-0.0933544749824,0.0192076830732,0.0216086434574,0.470588235294,0.529411764706,0.247026515152,0.0833333333333,,-0.414814814815,-0.7,-0.125,0.45,-0.4,0.05,0.4,Entertainment,Friday,1300,0
13232,12.0,908.0,0.455555555049,0.999999998155,0.616236161225,7.0,1.0,,0.0,4.52422907489,6.0,-1.0,0.0,-1.0,0.0,843300.0,268233.333333,0.0,3961.19166667,2467.38989423,3500.0,3500.0,3500.0,0.0335713000701,0.0333423871356,0.0333803131868,0.0334677650702,0.866238234537,0.472819557703,0.138622353099,0.0638766519824,0.0198237885463,0.763157894737,0.236842105263,0.292416778624,,0.85,-0.220480599647,,,0.454545454545,0.136363636364,0.0454545454545,0.136363636364,,Monday,1500,1
35730,11.0,527.0,,0.99999999705,0.705014747183,8.0,4.0,1.0,,4.83491461101,9.0,-1.0,558.0,165.777777778,712.0,843300.0,306323.555556,666.25,,2670.32652182,731.0,1900.0,1191.75,0.131152822836,0.0222223290409,0.802137290773,0.0222642567255,0.0222233006251,0.407235166794,0.0622930990578,0.0265654648956,0.0132827324478,0.666666666667,0.333333333333,0.294480519481,0.1,0.9,-0.300680272109,-0.6,-0.0714285714286,0.9,0.9,0.4,0.9,World,Sunday,1200,0
30740,10.0,121.0,0.663551395668,0.999999985075,0.731343272667,2.0,1.0,1.0,0.0,4.29752066116,7.0,4.0,633.0,226.0,1800.0,843300.0,190857.142857,1102.125,3260.43846816,2604.28712681,20100.0,20100.0,20100.0,0.0290572276518,,0.329290139897,0.0285741105384,0.584506164091,,0.37619047619,0.0413223140496,0.00826446280992,0.833333333333,0.166666666667,0.56,,0.8,-0.166666666667,-0.166666666667,-0.166666666667,0.0,0.0,0.5,0.0,World,Thursday,4000,1
14285,10.0,529.0,,0.999999996942,0.636085624966,,8.0,13.0,,4.64650283554,7.0,-1.0,608.0,125.142857143,12800.0,843300.0,207485.714286,3030.86092847,4622.5443038,3761.26214525,795.0,6700.0,3419.0,,0.0285984869094,0.0286731713031,0.0286118746822,0.885032162374,0.431755952381,0.0428571428571,0.0378071833648,,0.666666666667,0.333333333333,0.243214285714,0.0333333333333,0.6,-0.2925,-0.8,-0.05,1.0,-0.8,0.5,0.8,Tech,Tuesday,1400,0
