id,n_tokens_title,n_tokens_content,n_unique_tokens,n_non_stop_words,n_non_stop_unique_tokens,num_hrefs,num_self_hrefs,num_imgs,num_videos,average_token_length,num_keywords,kw_min_min,kw_max_min,kw_avg_min,kw_min_max,kw_max_max,kw_avg_max,kw_min_avg,kw_max_avg,kw_avg_avg,self_reference_min_shares,self_reference_max_shares,self_reference_avg_sharess,LDA_00,LDA_01,LDA_02,LDA_03,LDA_04,global_subjectivity,global_sentiment_polarity,global_rate_positive_words,global_rate_negative_words,rate_positive_words,rate_negative_words,avg_positive_polarity,min_positive_polarity,max_positive_polarity,avg_negative_polarity,min_negative_polarity,max_negative_polarity,title_subjectivity,title_sentiment_polarity,abs_title_subjectivity,abs_title_sentiment_polarity,data_channel,weekday
17335,9.0,6.016157159698354,0.501326258617,0.999999996283,0.587360592612,3.1780538303479458,1.0986122886681098,2.4260151319598084,0.0,4.59657701711,10.0,4.023594781085251,8.131824785007195,6.570462705977022,0.0,13.546366278368495,11.416095130315778,7.112870627779671,8.289194232088098,8.025191853340035,7.972810784121404,7.972810784121404,7.972810784121404,0.139798306033,0.020023085522,0.0200079047856,0.0200916010544,0.800079102605,0.521153846154,0.365865384615,0.05239293406090358,0.007308193306721294,0.6312717768418579,0.11332868530700317,0.495454545455,0.1,1.0,-0.129166666667,-0.1875,-0.1,0.5,0.34090909091,0.0,0.5,1.0,2.0
21242,10.0,5.762051382780177,0.725085908161,0.999999995146,0.830097083349,1.9459101490553132,1.3862943611198906,0.6931471805599453,1.732867951399863,4.62460567823,7.0,4.023594781085251,6.723832440821209,6.068756221409959,6.580639137284949,13.546366278368495,11.233107887080614,6.580639137284949,7.974016537432587,7.737746747059684,7.496097345175956,10.034559673629849,9.417435838868785,0.0286270701449,0.0286708070412,0.320833490645,0.593291435874,0.0285771962942,0.50531986532,0.0600273569024,0.03715597688808611,0.036004037453388205,0.36772478012500964,0.44183275227932495,0.5425,0.1,1.0,-0.303814814815,-0.6,-0.1,0.0,0.0,0.5,0.0,1.0,2.0
9448,11.0,6.104793232414985,0.584090907763,0.99999999654,0.730103803702,2.0794415416798357,0.6931471805599453,0.6931471805599453,0.6931471805599453,4.96196868009,10.0,0.0,7.170888478512505,6.180706546745821,0.0,13.64507923137965,12.405454393775289,0.0,8.380456667842767,7.656807450488711,7.783640596221253,7.783640596221253,7.783640596221253,0.0285731067112,0.0285732771793,0.885708489632,0.028572571983,0.0285725544947,0.484134469697,0.151471590909,0.03947881097375006,0.02431058950064713,0.48285177172332927,0.3215836241277623,0.431742424242,0.1,1.0,-0.202651515152,-0.5,-0.1,0.75,0.125,0.25,0.125,0.0,5.0
36797,13.0,4.969813299576001,0.638297867813,0.9653905905666288,0.787499990156,1.3862943611198906,1.0986122886681098,0.6931471805599453,0.0,4.52447552448,8.0,0.0,6.913764651667568,5.665994068594545,8.77971129020447,13.64507923137965,12.065018743935,7.562016090489583,9.022612155154514,8.243338184032151,6.834391262028074,7.550135342488429,7.550135342488429,0.0258061451394,0.0250037965197,0.187663447924,0.436806719296,0.324719891121,0.6470581904783749,0.417857142857,0.041101675685511596,0.0,0.6931471805599453,0.0,0.417857142857,0.1,0.6,0.0,0.0,0.0,1.0,0.0,0.5,0.5,5.0,6.0
29504,16.5,6.3578422665081,0.524412295616,0.999999997024,0.71428571216,2.1972245773362196,1.3862943611198906,0.6931471805599453,0.0,5.02083333333,8.0,0.0,6.579251212010101,5.506482000903066,0.0,13.64507923137965,11.895214060627177,0.0,8.259173475714597,7.9441696525156065,7.496097345175956,8.216358332386156,7.919719760924575,0.524842936453,0.0257334737654,0.149360560351,0.0252197350095,0.274843294421,0.379840548341,0.0948077200577,0.03245374484972777,0.018917159132183402,0.5389965007328537,0.3123746850423963,0.341233766234,0.05,0.75,-0.339141414141,-1.0,-0.1,0.0,0.0,0.5,0.0,0.0,3.0
19717,11.0,6.726233402358747,0.45019151039817706,0.999999998155,0.577490773842,2.8903717578961645,1.3862943611198906,2.4260151319598084,0.6931471805599453,4.50420168067,6.0,0.0,6.559615237493242,5.549853992363464,0.0,13.64507923137965,12.405454393775289,0.0,8.465087973305703,7.903746523529951,7.0909098220799835,10.43708198835482,8.163800628589119,0.0333389707534,0.726159814928,0.0333366039559001,0.0335633344547,0.173601275908,0.483118393235,-0.0933544749824,0.019025544144475888,0.02137848640654813,0.3856624808119047,0.4248831939653429,0.247026515152,0.0833333333333,0.7560061740048255,-0.414814814815,-0.7,-0.125,0.45,-0.204545454546,0.05,0.4,3.0,5.0
13232,12.0,6.812345094177479,0.455555555049,0.999999998155,0.616236161225,2.0794415416798357,0.6931471805599453,0.6931471805599453,0.0,4.52422907489,6.0,0.0,4.716650983533095,3.694810555575022,0.0,13.64507923137965,12.49961625555535,0.0,8.284552602330201,7.811321352381652,8.160803920954665,8.160803920954665,8.160803920954665,0.0335713000701,0.0333423871356,0.0333803131868,0.0334677650702,0.866238234537,0.472819557703,0.138622353099,0.06191945561124458,0.019629856044929717,0.5671064596646699,0.21256144198354515,0.292416778624,0.1,0.85,-0.220480599647,-0.5232038160258583,-0.1,0.454545454545,0.136363636364,0.0454545454545,0.136363636364,2.0,1.0
35730,11.0,6.269096283706261,0.5579212044751908,0.99999999705,0.705014747183,2.1972245773362196,1.6094379124341003,0.6931471805599453,0.0,4.83491461101,9.0,0.0,6.326149473155099,5.116662254298575,6.569481420414296,13.64507923137965,12.6324004579262,6.503164788284634,8.249173003413377,7.890330452669476,6.595780513961311,7.550135342488429,7.084016844396216,0.131152822836,0.0222223290409,0.802137290773,0.0222642567255,0.0222233006251,0.407235166794,0.0622930990578,0.026218730305084446,0.01319529041881491,0.5108256237661907,0.28768207245153093,0.294480519481,0.1,0.9,-0.300680272109,-0.6,-0.0714285714286,0.9,0.34090909091,0.4,0.625,0.0,0.0
30740,10.0,4.804021044733257,0.663551395668,0.999999985075,0.731343272667,1.0986122886681098,0.6931471805599453,0.6931471805599453,0.0,4.29752066116,7.0,1.6094379124341003,6.452048954437226,5.424950017481403,7.496097345175956,13.64507923137965,12.159285723529898,7.005902340121661,8.089923624941365,7.865298169537716,9.908524844053396,9.908524844053396,9.908524844053396,0.0290572276518,0.02857235782180001,0.329290139897,0.0285741105384,0.584506164091,0.456469298246,0.37619047619,0.0404913613547496,0.008230499136518092,0.6061358035701337,0.15415067982754402,0.56,0.1,0.8,-0.166666666667,-0.166666666667,-0.166666666667,0.0,0.0,0.5,0.0,0.0,4.0
14285,10.0,6.272877006546167,0.49969126499880623,0.999999996942,0.636085624966,2.0794415416798357,2.1972245773362196,2.4260151319598084,0.0,4.64650283554,7.0,0.0,6.411818267709897,4.83741505154978,9.45727857185611,13.64507923137965,12.24282258906569,8.016931877791432,8.438916855279558,8.232775689849538,6.679599185844383,8.81001204797317,8.13739583005665,0.02908430473130008,0.0285984869094,0.0286731713031,0.0286118746822,0.885032162374,0.431755952381,0.0428571428571,0.03711000965119336,0.015287807206415746,0.5108256237661907,0.28768207245153093,0.243214285714,0.0333333333333,0.6,-0.2925,-0.8,-0.05,1.0,-0.204545454546,0.5,0.625,2.0,2.0
