n_tokens_title,n_tokens_content,n_unique_tokens,n_non_stop_words,n_non_stop_unique_tokens,num_hrefs,num_self_hrefs,num_imgs,num_videos,average_token_length,num_keywords,kw_min_min,kw_max_min,kw_avg_min,kw_min_max,kw_max_max,kw_avg_max,kw_min_avg,kw_max_avg,kw_avg_avg,self_reference_min_shares,self_reference_max_shares,self_reference_avg_sharess,LDA_00,LDA_01,LDA_02,LDA_03,LDA_04,global_subjectivity,global_sentiment_polarity,global_rate_positive_words,global_rate_negative_words,rate_positive_words,rate_negative_words,avg_positive_polarity,min_positive_polarity,max_positive_polarity,avg_negative_polarity,min_negative_polarity,max_negative_polarity,title_subjectivity,title_sentiment_polarity,abs_title_subjectivity,abs_title_sentiment_polarity,data_channel_Entertainment,data_channel_Lifestyle,data_channel_Social Media,data_channel_Tech,data_channel_World,data_channel_unknown,weekday_Monday,weekday_Saturday,weekday_Sunday,weekday_Thursday,weekday_Tuesday,weekday_Wednesday,weekday_unknown,is_weekend,kw_skew,kw_avg_gap,token_density
9.0,5.662960480135946,0.685512365069,0.999999994565,0.853260864928,2.302585092994046,9.999950000333332e-06,1.0,0.0,4.6968641115,10.0,0.0,7.972810784121404,6.191083553375234,0.0,843299.9999999995,11.976225424749344,0.0,4178.845303869999,2721.222384770001,4.161005114388181,6.815227044614546,4.697472968215271,0.12045306142,0.22094280655,0.16046418047,0.0200031664563,0.478136785104,0.409126984127,0.0571428571429,0.0391644908616,0.0243902439024,0.5,0.5,0.373051948052,0.1,0.8,-0.153571428571,-0.291666666667,-0.0833333333333,0.3,0.0,0.2,0.0,False,False,False,False,False,True,False,False,False,True,False,False,False,0,1.5354532852477265,8.338029516190424,0.44871362696426115
9.0,6.124683390894205,0.632458232381,0.999999996503,0.75174824912,2.302585092994046,1.9459101490553132,3.0,4.656854249492379,4.52631578947,10.0,0.0,5.691175994943401,5.100316021863601,3899.9999999999973,843299.9999999995,13.019585080503706,1592.2222222199994,7317.3955776299945,3430.9761336201536,8.071218539969863,10.034559673629849,9.19023970026918,0.0250121339351,0.0252922385619,0.0250004723536,0.899695016629,0.0250001385208,0.489454123113,0.00409902597403,0.0328947368421,0.036660031949032834,0.42857142857099995,0.571428571429,0.3625,0.1,1.0,-0.253703703704,-0.7,-0.0714285714286,0.25,-0.204545454546,0.25,0.25,False,False,False,False,False,True,False,False,False,False,True,False,False,0,2.132414472798308,8.652802760332506,0.4777661348218002
9.0,6.495265555937008,0.517503804387,0.999999997389,0.749347256529,1.9459101490553132,1.3862943611198906,1.0,1.0,4.89712556732,10.0,54.901699437494734,7.489667459998169,6.055905407226871,0.0,764032.0133212074,11.226385091382035,0.0,3278.7999999999997,2714.6688804975897,7.0909098220799835,7.0909098220799835,8.163800628589119,0.279957026187,0.178840309631,0.0200248018437,0.020121423237,0.501056439101,0.325732600733,0.0425297619048,0.0166414523449,0.0166414523449,0.5,0.5,0.367965367965,0.1,0.7,-0.167857142857,-0.4,-0.0714285714286,0.75,0.15,0.25,0.0,False,False,False,False,False,True,False,False,False,True,False,False,False,0,1.2077319232671122,8.095537723909345,0.50048831073466
13.0,6.220590170099739,0.561224488651,0.999999996795,0.7050095214267039,2.772588722239781,1.0986122886681098,9.000000000000002,3.0,4.52988047809,7.0,0.05933709747208126,6.478509642208569,5.016175474469661,0.0,843299.9999999995,13.281466751958938,0.0,11486.826371022955,4611.7480939399975,7.696667081526462,7.696667081526462,7.696667081526462,0.0285878645895,0.0285812455553,0.0285717077534,0.88567170759,0.0285874745119,0.613736263736,0.12206959707,0.0498007968127,0.0154052635175,0.694444444444,0.305555555556,0.397161904762,0.1,1.0,-0.356060606061,-1.0,-0.2,0.2,0.0666666666667,0.3,0.0666666666667,False,True,False,False,False,False,False,False,False,True,False,False,False,0,2.4904517084111095,9.3490431772308,0.36764407099423435
12.0,5.8522024797744745,0.625730992322,0.999999995025,0.815920393951,1.791759469228055,1.3862943611198906,1.0,1.0,4.59365994236,5.0,3.9999999999999996,5.707110264748875,5.473110656921199,13500.000000000004,764032.0133212074,12.512678282545092,1828.4857142899994,3505.5884353699985,2746.1063664599997,7.550135342488429,7.550135342488429,8.345883535108465,0.04000352711079991,0.384614881542,0.494575141998,0.0408040862459,0.0400023631033,0.439070266154,0.0744007535674,0.0345821325648,0.0230547550432,0.6,0.4,0.391720779221,0.1,0.8,-0.252777777778,-0.4,-0.1,0.0,0.0,0.5,0.0,True,False,False,False,False,False,False,False,False,False,False,False,False,0,1.2764662039237633,7.425419101530144,0.3716803920352923
9.0,6.57507584059962,0.503586799851,0.999999997685,0.673611109552,2.5649493574615367,1.3862943611198906,12.999999999999996,0.0,5.13407821229,7.0,0.0,7.741099090035366,6.109617884565301,0.0,823880.2667241599,11.98854454800156,0.0,3443.1200849900024,2239.3782152299996,4.161005114388181,4.028952622531513,4.697472968215271,0.028573532954,0.0285734319357,0.885663907562,0.0286154314367,0.0285736961113,0.390479745697,0.126143787774,0.0460893854749,0.0154052635175,0.767441860465,0.232558139535,0.3625,0.05,1.0,-0.27003968254,-0.8,-0.125,0.5,0.0,0.5,0.0,False,False,False,False,True,False,False,False,False,False,False,True,False,0,1.5372940432901083,8.144423732823027,0.5053150186691995
13.0,6.945051063725834,0.454368931598,0.999999998501,0.593703147536,2.0794415416798357,1.9459101490553132,18.764235376052365,0.0,4.6730954677,8.0,0.0,6.380122536899765,5.326054121519636,2900.0000000000005,843299.9999999995,12.415202461533958,1464.66666667,7856.807860259997,3597.2191767900017,7.972810784121404,10.221977646629885,9.62911649414402,0.0250001469602,0.899890698785,0.0250001855578,0.0251088514904,0.0250001172063,0.457240689205,0.0899776678348,0.0433944069431,0.0260366441659,0.625,0.37499999999999994,0.3625,0.1,1.0,-0.249147560259,-0.5,-0.0714285714286,0.333333333333,-0.1,0.166666666667,0.0,True,False,False,False,False,False,False,False,False,False,False,False,False,0,2.183804675086526,8.762981006177464,0.40284506277197485
12.0,6.159095388491933,0.372246695215,0.999999997555,0.344743275441,3.9100041201960636,1.6094379124341003,18.764235376052365,1.0,5.70127118644,9.0,3.9999999999999996,6.2285110035911835,5.229324495062871,17600.00000000001,810650.9262663649,11.879348629133212,1783.8541666700007,3346.488494369999,2623.2119488999992,7.438971592395862,7.438971592395862,7.438971592395862,0.0222958679172,0.754539125851,0.0222726034297,0.0222561305985,0.178636272203,0.403067946546,0.0495435723697,0.021186440678,0.021186440678,0.5,0.5,0.360616883117,0.136363636364,1.0,-0.246666666667,-0.4,-0.166666666667,0.625,0.34090909091,0.125,0.4375,True,False,False,False,False,False,False,True,False,False,False,False,False,1,1.2756166649470437,7.354768087949999,0.3878282004223209
12.0,6.013715156042802,0.582089550791,0.999999995833,0.774999996771,1.9459101490553132,1.3862943611198906,0.0,4.656854249492379,4.38235294118,10.0,54.901699437494734,6.251903883165888,5.8761783916489385,0.0,764032.0133212074,12.415202461533958,0.0,9048.752688169994,3838.5555038899993,7.170888478512505,8.764209507142004,8.25608813381491,0.155718548074,0.0200973715953,0.0201923655296,0.399433851695,0.404557863106,0.554812409812,0.111356421356,0.0391644908616,0.0122549019608,0.8148148148150001,0.185185185185,0.286016332153,0.1,0.7,-0.378333333333,-0.625,-0.166666666667,0.5,-0.0318181818182,0.272727272727,0.0318181818182,False,False,False,True,False,False,False,False,False,False,False,True,False,0,2.356979259448482,9.110492709046541,0.3802112116143149
15.0,6.853299093186078,0.483014861483,0.999999998051,0.730994150622,0.6931471805599453,0.6931471805599453,1.0,2.0000000000000004,4.64164904863,4.0,0.0,6.269096283706261,4.882801922586371,10400.000000000002,843299.9999999995,12.490126895384028,0.0,3467.8378848499988,2568.794195380001,7.00397413672268,7.00397413672268,7.00397413672268,0.0500007837842,0.050000099824599964,0.79999547812,0.0500000452089,0.0500035930623,0.427128427128,0.0544191919192,0.0391644908616,0.0253699788584,0.625,0.37499999999999994,0.331607142857,0.1,1.0,-0.33642526455,-1.0,-0.05,0.0,0.0,0.5,0.0,False,False,False,False,True,False,False,False,False,True,False,False,False,0,1.349850463156274,8.151574913346762,0.35650676512435925
